Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dwight Powell,C,28,DAL,40.0,37.0,26.5,3.7,5.7,0.638,0.3,1.0,0.256,3.4,4.8,0.716,0.659,1.9,2.8,0.667,1.9,3.8,5.7,1.5,0.9,0.6,0.9,2.6,9.4
Michael Porter Jr.,SF,21,DEN,55.0,8.0,16.4,3.5,7.0,0.509,1.1,2.7,0.422,2.4,4.3,0.564,0.59,1.1,1.3,0.833,1.2,3.5,4.7,0.8,0.5,0.5,0.9,1.8,9.3
Marquese Chriss,PF,22,GSW,59.0,21.0,20.3,3.6,6.5,0.545,0.1,0.7,0.205,3.4,5.9,0.584,0.556,2.0,2.6,0.769,1.9,4.3,6.2,1.9,0.7,1.1,1.3,2.1,9.3
Landry Shamet,SG,22,LAC,53.0,30.0,27.4,3.0,7.4,0.404,2.1,5.6,0.375,0.9,1.8,0.495,0.546,1.2,1.4,0.855,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.7,9.3
Kentavious Caldwell-Pope,SG,26,LAL,69.0,26.0,25.5,3.4,7.3,0.467,1.3,3.5,0.385,2.1,3.9,0.541,0.558,1.1,1.5,0.775,0.6,1.5,2.1,1.6,0.8,0.2,0.9,1.9,9.3
Dion Waiters,SG,28,MIA,3.0,0.0,14.0,3.3,8.7,0.385,2.7,5.7,0.471,0.7,3.0,0.222,0.538,0.0,0.3,0.0,0.0,3.7,3.7,1.0,0.0,0.7,1.0,1.7,9.3
Jarrett Culver,SG,20,MIN,63.0,35.0,23.9,3.7,9.0,0.404,1.0,3.5,0.299,2.6,5.5,0.471,0.462,0.9,1.9,0.462,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2.0,9.2
Donte DiVincenzo,SG,23,MIL,66.0,24.0,23.0,3.5,7.7,0.455,1.3,3.7,0.336,2.3,4.0,0.567,0.536,1.0,1.3,0.733,1.0,3.8,4.8,2.3,1.3,0.3,1.4,1.7,9.2
Daniel Theis,C,27,BOS,65.0,64.0,24.1,3.7,6.6,0.566,0.5,1.5,0.333,3.2,5.1,0.633,0.603,1.3,1.8,0.763,2.2,4.4,6.6,1.7,0.6,1.3,0.8,3.4,9.2
Mikal Bridges,SF,23,PHO,73.0,32.0,28.0,3.4,6.6,0.51,1.0,2.7,0.361,2.4,4.0,0.61,0.583,1.4,1.7,0.844,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,9.1
Maxi Kleber,PF,28,DAL,74.0,21.0,25.5,3.2,6.9,0.461,1.6,4.3,0.373,1.6,2.6,0.605,0.577,1.1,1.3,0.849,1.5,3.7,5.2,1.2,0.3,1.1,0.8,2.4,9.1
Keldon Johnson,SF,20,SAS,17.0,1.0,17.7,3.1,5.2,0.596,0.8,1.3,0.591,2.4,3.9,0.597,0.669,2.1,2.6,0.795,0.6,2.8,3.4,0.9,0.8,0.1,0.8,1.6,9.1
Jake Layman,SF,25,MIN,23.0,2.0,22.0,3.5,7.8,0.453,1.0,3.1,0.333,2.5,4.7,0.533,0.52,1.0,1.4,0.75,0.7,1.7,2.5,0.7,0.7,0.4,1.0,2.0,9.1
Sviatoslav Mykhailiuk,SF,22,DET,56.0,27.0,22.6,3.0,7.2,0.41,2.1,5.1,0.404,0.9,2.1,0.425,0.552,1.0,1.3,0.814,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0
Naz Reid,C,20,MIN,30.0,11.0,16.5,3.3,8.1,0.412,1.1,3.2,0.33,2.3,4.9,0.466,0.477,1.2,1.8,0.698,1.1,3.0,4.1,1.2,0.6,0.7,0.7,2.8,9.0
Monte Morris,PG,24,DEN,73.0,12.0,22.4,3.6,7.8,0.459,0.9,2.4,0.378,2.7,5.4,0.495,0.517,1.0,1.2,0.843,0.3,1.5,1.9,3.5,0.8,0.2,0.7,1.0,9.0
Josh Jackson,SF,22,MEM,22.0,0.0,17.3,3.2,7.2,0.44,1.0,3.3,0.319,2.1,4.0,0.54,0.513,1.6,2.3,0.7,0.5,2.5,3.0,1.6,0.8,0.4,1.3,1.8,9.0
Dragan Bender,PF,22,GSW,9.0,3.0,21.7,3.4,7.9,0.437,1.2,3.8,0.324,2.2,4.1,0.541,0.514,0.9,1.2,0.727,1.8,4.1,5.9,2.1,0.4,0.4,1.8,2.9,9.0
Derrick Favors,C,28,NOP,51.0,49.0,24.4,4.1,6.6,0.617,0.0,0.1,0.143,4.1,6.5,0.627,0.618,0.8,1.4,0.563,3.2,6.6,9.8,1.6,0.6,0.9,1.1,2.1,9.0
Gary Trent Jr.,SF,21,POR,61.0,8.0,21.8,3.2,7.2,0.444,1.8,4.4,0.418,1.4,2.8,0.486,0.571,0.6,0.7,0.822,0.4,1.2,1.6,1.0,0.8,0.3,0.3,1.5,8.9
Bruce Brown,PG,23,DET,58.0,43.0,28.2,3.4,7.7,0.443,0.6,1.7,0.344,2.8,6.1,0.47,0.48,1.5,2.1,0.739,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8,8.9
Kent Bazemore,SF,30,TOT,68.0,21.0,24.8,2.9,7.9,0.375,1.2,3.6,0.344,1.7,4.3,0.4,0.453,1.7,2.2,0.769,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8
Jordan Poole,SG,20,GSW,57.0,14.0,22.4,2.9,8.8,0.333,1.3,4.6,0.279,1.6,4.2,0.392,0.406,1.7,2.1,0.798,0.2,1.9,2.1,2.4,0.6,0.2,1.3,1.6,8.8
Cameron Johnson,PF,23,PHO,57.0,9.0,22.0,3.1,7.1,0.435,1.9,4.8,0.39,1.2,2.3,0.526,0.565,0.8,1.0,0.807,0.9,2.4,3.3,1.2,0.6,0.4,0.6,1.5,8.8
Austin Rivers,SG,27,HOU,68.0,4.0,23.4,3.1,7.4,0.421,1.4,4.0,0.356,1.7,3.4,0.498,0.517,1.1,1.6,0.703,0.4,2.2,2.6,1.7,0.7,0.1,0.7,1.9,8.8
Moritz Wagner,C,22,WAS,45.0,5.0,18.6,3.2,5.9,0.545,0.6,1.8,0.313,2.7,4.1,0.645,0.592,1.7,2.1,0.821,1.2,3.6,4.9,1.2,0.6,0.4,1.5,3.4,8.7
Grayson Allen,SG,24,MEM,38.0,0.0,18.9,3.1,6.6,0.466,1.5,3.7,0.404,1.6,2.9,0.545,0.58,1.0,1.2,0.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7
Alex Len,C,26,ATL,40.0,9.0,18.6,3.6,6.5,0.546,0.4,1.4,0.25,3.2,5.1,0.627,0.573,1.3,2.0,0.63,1.7,4.0,5.8,1.1,0.5,0.8,1.0,2.3,8.7
Josh Okogie,SG,21,MIN,62.0,28.0,25.0,2.7,6.4,0.427,0.7,2.5,0.266,2.1,3.9,0.529,0.479,2.5,3.1,0.796,1.4,2.9,4.3,1.6,1.1,0.4,1.4,2.2,8.6
Avery Bradley,SG,29,LAL,49.0,44.0,24.2,3.5,7.8,0.444,1.3,3.5,0.364,2.2,4.3,0.51,0.526,0.4,0.5,0.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6
James Ennis,SG,29,ORL,20.0,18.0,24.5,3.0,6.7,0.451,0.9,3.2,0.286,2.1,3.5,0.6,0.519,1.6,1.9,0.838,1.2,3.6,4.8,1.1,0.6,0.4,1.4,2.6,8.5
Jabari Parker,PF,24,SAC,6.0,0.0,13.3,3.5,6.0,0.583,0.2,0.7,0.25,3.3,5.3,0.625,0.597,1.3,1.5,0.889,1.2,2.7,3.8,1.7,0.5,0.2,0.7,1.0,8.5
Derrick Jones Jr.,SF,22,MIA,59.0,16.0,23.3,3.1,5.9,0.527,0.6,2.2,0.28,2.5,3.7,0.677,0.58,1.6,2.1,0.772,1.1,2.8,3.9,1.1,1.0,0.6,0.5,2.2,8.5
Justin Holiday,SF,30,IND,73.0,6.0,25.0,2.8,6.7,0.428,1.8,4.5,0.405,1.0,2.1,0.477,0.566,0.7,0.9,0.791,0.4,2.8,3.3,1.3,1.2,0.6,0.6,1.9,8.3
Jeremy Pargo,PG,33,GSW,3.0,0.0,14.7,3.7,7.3,0.5,1.0,2.3,0.429,2.7,5.0,0.533,0.568,0.0,0.3,0.0,0.3,0.7,1.0,2.7,0.3,0.0,1.3,2.7,8.3
Ivica Zubac,C,22,LAC,72.0,70.0,18.4,3.3,5.3,0.613,0.0,0.0,0.0,3.3,5.3,0.616,0.613,1.7,2.3,0.747,2.7,4.8,7.5,1.1,0.2,0.9,0.8,2.3,8.3
E'Twaun Moore,SG,30,NOP,56.0,6.0,18.2,3.3,7.8,0.426,1.1,3.0,0.377,2.2,4.8,0.456,0.498,0.6,0.8,0.689,0.6,1.8,2.3,1.4,0.6,0.2,0.7,1.4,8.3
DeAndre Jordan,C,31,BRK,56.0,6.0,22.0,3.4,5.1,0.666,0.0,0.0,0.0,3.4,5.1,0.666,0.666,1.5,2.2,0.68,2.5,7.5,10.0,1.9,0.3,0.9,1.3,2.0,8.3
Anfernee Simons,SG,20,POR,70.0,4.0,20.7,3.1,7.7,0.399,1.1,3.2,0.332,2.0,4.4,0.448,0.469,1.1,1.3,0.826,0.4,1.8,2.2,1.4,0.4,0.1,0.9,1.9,8.3
Kelly Olynyk,C,28,MIA,67.0,9.0,19.4,2.7,5.9,0.462,1.4,3.5,0.406,1.3,2.4,0.543,0.582,1.3,1.5,0.86,0.7,3.9,4.6,1.7,0.7,0.3,1.1,2.6,8.2
Jalen Brunson,PG,23,DAL,57.0,16.0,17.9,3.2,6.8,0.466,0.8,2.1,0.358,2.4,4.7,0.515,0.522,1.1,1.3,0.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2
Reggie Bullock,SG,28,NYK,29.0,19.0,23.6,3.1,7.7,0.402,1.3,3.8,0.333,1.8,3.9,0.469,0.484,0.6,0.7,0.81,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9,8.1
Jahlil Okafor,C,24,NOP,30.0,9.0,15.6,3.4,5.4,0.623,0.0,0.1,0.333,3.3,5.3,0.629,0.627,1.3,2.1,0.645,1.6,2.6,4.2,1.2,0.2,0.7,1.3,2.2,8.1
Enes Kanter,C,27,BOS,58.0,7.0,16.9,3.4,6.0,0.572,0.0,0.1,0.143,3.4,5.9,0.581,0.573,1.2,1.7,0.707,2.8,4.6,7.4,1.0,0.4,0.7,1.0,1.7,8.1
Dewayne Dedmon,C,30,ATL,10.0,8.0,23.3,3.3,8.4,0.393,0.8,3.6,0.222,2.5,4.8,0.521,0.44,0.7,0.8,0.875,1.4,6.8,8.2,0.7,1.0,1.5,1.0,4.0,8.1
Trevor Ariza,SF,34,TOT,53.0,21.0,28.2,2.7,6.1,0.438,1.5,3.9,0.372,1.2,2.2,0.556,0.557,1.2,1.4,0.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0
Tony Snell,SF,28,DET,59.0,57.0,27.8,2.9,6.5,0.445,1.7,4.3,0.402,1.2,2.2,0.531,0.579,0.5,0.5,1.0,0.2,1.7,1.9,2.2,0.5,0.3,0.5,1.7,8.0
Sindarius Thornwell,SF,25,NOP,2.0,0.0,17.5,3.0,5.5,0.545,1.0,2.0,0.5,2.0,3.5,0.571,0.636,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.5,0.5,1.0,1.0,8.0
Draymond Green,PF,29,GSW,43.0,43.0,28.4,2.9,7.3,0.389,0.8,3.0,0.279,2.0,4.3,0.465,0.446,1.5,1.9,0.759,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0
Danny Green,SG,32,LAL,68.0,68.0,24.8,2.9,7.0,0.416,1.8,4.8,0.367,1.1,2.2,0.524,0.542,0.5,0.7,0.688,0.8,2.6,3.3,1.3,1.3,0.5,0.9,2.0,8.0
Alex Len,C,26,TOT,55.0,12.0,17.6,3.2,5.8,0.555,0.3,1.1,0.271,2.9,4.7,0.619,0.58,1.2,1.9,0.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0
Willie Cauley-Stein,C,26,GSW,41.0,37.0,22.9,3.5,6.3,0.56,0.0,0.0,0.0,3.5,6.3,0.56,0.56,0.9,1.4,0.614,1.7,4.5,6.2,1.5,1.1,1.2,0.9,2.5,7.9
Patrick Beverley,PG,31,LAC,51.0,50.0,26.3,2.9,6.7,0.431,1.6,4.0,0.388,1.3,2.6,0.496,0.548,0.6,0.9,0.66,1.1,4.1,5.2,3.6,1.1,0.5,1.3,3.1,7.9
Malik Beasley,SG,23,DEN,41.0,0.0,18.2,2.9,7.3,0.389,1.4,3.9,0.36,1.4,3.4,0.421,0.485,0.8,0.9,0.868,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9
Kent Bazemore,SF,30,POR,43.0,21.0,25.8,2.6,7.6,0.347,1.3,4.0,0.327,1.3,3.6,0.368,0.433,1.3,1.7,0.806,0.3,3.7,4.0,1.4,1.0,0.7,1.4,2.8,7.9
Timothé Luwawu-Cabarrot,SF,24,BRK,47.0,2.0,18.1,2.5,5.7,0.435,1.3,3.4,0.388,1.2,2.3,0.505,0.55,1.5,1.7,0.852,0.6,2.1,2.7,0.6,0.4,0.1,0.8,2.3,7.8
Jeff Green,PF,33,UTA,30.0,2.0,18.4,2.5,6.5,0.385,1.1,3.5,0.327,1.4,3.0,0.451,0.472,1.6,2.1,0.778,0.5,2.2,2.7,0.7,0.4,0.3,0.9,1.5,7.8
Chandler Hutchison,SF,23,CHI,28.0,10.0,18.8,2.9,6.3,0.457,0.4,1.4,0.316,2.4,4.9,0.496,0.491,1.6,2.8,0.59,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,7.8
Jeff Teague,PG,31,ATL,25.0,4.0,20.8,2.7,6.6,0.412,0.4,1.2,0.333,2.3,5.4,0.43,0.442,1.9,2.1,0.887,0.5,1.7,2.2,4.0,0.8,0.2,1.6,1.4,7.7
J.J. Barea,PG,35,DAL,29.0,6.0,15.5,2.9,7.1,0.411,1.1,2.9,0.376,1.8,4.2,0.434,0.488,0.7,0.8,0.909,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7
Glenn Robinson III,SF,26,PHI,14.0,4.0,19.3,3.1,6.1,0.518,0.6,1.9,0.333,2.5,4.1,0.603,0.571,0.8,0.9,0.917,1.1,2.1,3.1,0.8,0.6,0.1,0.4,1.3,7.7
Omari Spellman,C,22,GSW,49.0,3.0,18.1,2.6,6.0,0.431,0.9,2.2,0.391,1.7,3.8,0.454,0.503,1.5,1.9,0.793,1.6,2.9,4.5,1.0,0.7,0.5,1.1,1.3,7.6
Jordan McLaughlin,PG,23,MIN,30.0,2.0,19.7,2.9,5.9,0.489,1.0,2.5,0.382,1.9,3.4,0.569,0.57,0.9,1.3,0.667,0.2,1.4,1.6,4.2,1.1,0.1,1.0,1.0,7.6
De'Anthony Melton,PG,21,MEM,60.0,8.0,19.5,2.7,6.7,0.401,0.7,2.3,0.286,2.0,4.4,0.464,0.451,1.6,2.0,0.769,0.7,3.0,3.7,2.9,1.3,0.3,1.4,1.8,7.6
Terence Davis,SG,22,TOR,72.0,4.0,16.8,2.8,6.1,0.456,1.3,3.4,0.388,1.5,2.7,0.541,0.564,0.7,0.8,0.864,0.7,2.6,3.3,1.6,0.5,0.2,1.1,1.7,7.5
Marc Gasol,C,35,TOR,44.0,43.0,26.4,2.7,6.3,0.427,1.3,3.4,0.385,1.4,3.0,0.473,0.529,0.8,1.1,0.735,0.7,5.5,6.3,3.3,0.8,0.9,1.3,2.8,7.5
Dwight Howard,C,34,LAL,69.0,2.0,18.9,2.9,4.0,0.729,0.0,0.1,0.6,2.9,3.9,0.732,0.735,1.6,3.1,0.514,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5
Wesley Matthews,SG,33,MIL,67.0,67.0,24.4,2.5,6.3,0.396,1.6,4.4,0.364,0.9,1.9,0.472,0.524,0.8,1.0,0.765,0.3,2.1,2.5,1.4,0.6,0.1,0.6,1.5,7.4
Tyus Jones,PG,23,MEM,65.0,6.0,19.0,3.0,6.6,0.459,0.7,1.9,0.379,2.3,4.7,0.492,0.514,0.7,0.9,0.741,0.1,1.4,1.6,4.4,0.9,0.1,0.8,0.7,7.4
Trey Burke,PG,27,TOT,33.0,1.0,15.8,2.8,6.3,0.45,1.0,2.3,0.427,1.9,4.1,0.463,0.526,0.7,0.9,0.793,0.5,1.0,1.5,2.5,0.5,0.1,0.6,1.0,7.4
Nerlens Noel,C,25,OKC,61.0,7.0,18.5,3.0,4.4,0.684,0.0,0.0,0.333,3.0,4.4,0.688,0.686,1.3,1.7,0.755,1.5,3.4,4.9,0.9,1.0,1.5,1.1,2.7,7.4
Ky Bowman,PG,22,GSW,45.0,12.0,22.6,3.0,7.1,0.417,0.7,2.4,0.308,2.2,4.8,0.472,0.469,0.8,0.9,0.829,0.5,2.2,2.7,2.9,1.0,0.2,1.6,2.3,7.4
Jaxson Hayes,C,19,NOP,64.0,14.0,16.9,2.7,4.0,0.672,0.0,0.1,0.25,2.7,4.0,0.678,0.674,1.9,3.0,0.647,1.5,2.5,4.0,0.9,0.4,0.9,0.8,2.5,7.4
Ian Mahinmi,C,33,WAS,38.0,35.0,21.3,2.7,5.5,0.495,0.1,0.7,0.192,2.6,4.8,0.538,0.507,1.8,3.0,0.619,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,7.4
Gorgui Dieng,C,30,TOT,63.0,17.0,17.4,2.6,5.8,0.456,0.9,2.4,0.355,1.8,3.4,0.528,0.53,1.2,1.6,0.772,1.4,4.2,5.6,1.2,0.8,0.9,1.0,2.0,7.4
Gorgui Dieng,C,30,MIN,46.0,17.0,16.9,2.7,6.0,0.448,1.0,2.6,0.383,1.7,3.4,0.497,0.531,1.0,1.3,0.797,1.6,4.0,5.6,1.3,0.8,0.9,1.0,1.9,7.4
Bismack Biyombo,C,27,CHO,53.0,29.0,19.4,2.8,5.2,0.543,0.0,0.0,0.0,2.8,5.2,0.543,0.543,1.7,2.8,0.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4
Kris Dunn,PG,25,CHI,51.0,32.0,24.9,3.0,6.7,0.444,0.6,2.2,0.259,2.4,4.5,0.535,0.487,0.8,1.1,0.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3
Emmanuel Mudiay,PG,23,UTA,54.0,2.0,15.7,2.8,6.1,0.462,0.6,1.6,0.345,2.2,4.4,0.504,0.508,1.2,1.5,0.759,0.3,2.0,2.3,2.1,0.4,0.2,1.4,1.3,7.3
Willie Cauley-Stein,C,26,TOT,54.0,39.0,20.3,3.2,5.6,0.579,0.0,0.0,0.0,3.2,5.6,0.581,0.579,0.7,1.2,0.606,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2,7.2
Michael Carter-Williams,SG,28,ORL,45.0,0.0,18.5,2.5,5.8,0.427,0.5,1.7,0.293,2.0,4.1,0.481,0.469,1.8,2.1,0.832,1.0,2.2,3.3,2.4,1.1,0.5,1.2,1.9,7.2
Mason Plumlee,C,29,DEN,61.0,1.0,17.3,2.9,4.7,0.615,0.0,0.1,0.0,2.9,4.6,0.625,0.615,1.4,2.5,0.535,1.6,3.6,5.2,2.5,0.5,0.6,1.3,2.3,7.2
Gorgui Dieng,C,30,MEM,17.0,0.0,18.7,2.5,5.1,0.483,0.5,1.9,0.25,2.0,3.2,0.618,0.529,1.8,2.5,0.738,1.1,4.7,5.8,0.9,0.8,1.0,0.9,2.1,7.2
Rajon Rondo,PG,33,LAL,48.0,3.0,20.5,2.9,6.8,0.418,0.9,2.6,0.328,2.0,4.2,0.473,0.48,0.6,0.9,0.659,0.5,2.5,3.0,5.0,0.8,0.0,1.9,1.2,7.1
Jeremiah Martin,PG,23,BRK,9.0,0.0,11.0,2.7,5.9,0.453,0.6,2.0,0.278,2.1,3.9,0.543,0.5,1.2,1.6,0.786,0.1,1.0,1.1,2.0,0.8,0.2,0.4,0.8,7.1
Zach Collins,PF,22,POR,11.0,11.0,26.4,2.9,6.2,0.471,0.6,1.7,0.368,2.3,4.5,0.51,0.522,0.5,0.7,0.75,2.3,4.0,6.3,1.5,0.5,0.5,1.3,3.3,7.0
Rondae Hollis-Jefferson,PF,25,TOR,60.0,6.0,18.7,2.6,5.5,0.471,0.1,0.4,0.13,2.5,5.1,0.497,0.476,1.8,2.4,0.734,1.8,2.9,4.7,1.8,0.8,0.4,1.0,1.9,7.0
